"","COU_label.en","obsTime","World","Unallocated","Allocated_Share","totalFDI","total_share","Difference","text","totalFDIHaven","Haven_share","totalFDISmallHaven","SmallHaven_share","totalFDILargeHaven","LargeHaven_share"
"67","Ireland",2014,17674.140904869,-281.27902348414,102,12267.4804298792,69,33,"69 (102)",9329.97213745515,76,2523.55048427752,21,6806.42165317763,55
"68","Ireland",2015,8914.0321686079,-3560.7321131448,140,9186.91070438159,103,37,"103 (140)",8301.71935662787,90,1351.08153078206,15,6950.63782584581,76
"69","Italy",2013,22849.495552901,3.6771538563659,100,22845.8210540289,100,0,"100 (100)",1023.96256471519,4,14.2878003451481,0,1009.67476437004,4
"70","Italy",2014,26374.403608863,4.3943213480139,100,26368.6625978505,100,0,"100 (100)",3931.61735438501,15,28.4091813718991,0,3903.20817301311,15
"71","Italy",2015,12170.524681087,2.2418191902392,100,12166.9794786467,100,0,"100 (100)",4206.51136993899,35,13.4952856350531,0,4193.01608430394,34
"72","Japan",2014,98429.344103545,0,100,90141.0047473954,92,8,"92 (100)",4881.55128841022,5,1267.8617822811,1,3613.68950612912,4
"73","Japan",2015,89626.395531325,0.82643057198086,100,85926.465860566,96,4,"96 (100)",9429.57282630168,11,1590.0524204912,2,7839.52040581048,9
"74","Korea",2013,9923.787739887,0,100,9923.787739887,100,0,"100 (100)",1134.528014825,11,115.211996,1,1019.316018825,10
"75","Korea",2014,6305.444307,-9.1e-13,100,6366.502748,101,-1,"101 (100)",785.184136,12,208.668182,3,576.515954,9
"76","Korea",2015,-256.759518,0.27307999999977,100,673.011676,-262,362,"-262 (100)",1138.222562,169,150.975843,22,987.246719,147
"77","Latvia",2013,96.906942785079,17.257400769945,82,86.287003849728,89,-7,"89 (82)",10.6199389353511,12,0,0,10.6199389353511,12
"78","Latvia",2014,86.241210030516,2.6535756932466,97,87.5679978771401,102,-5,"102 (97)",15.92145415948,18,0,0,15.92145415948,18
"79","Latvia",2015,170.8264004437,NA,NA,58.7909040488074,34,NA,"34 (NaN)",-37.7149195784806,-64,0,0,-37.7149195784806,-64
"80","Netherlands",2013,231926.1914244,250.89605734767,100,231675.295367052,100,0,"100 (100)",51650.0730120804,22,6306.91623523164,3,45343.1567768488,20
"81","Netherlands",2014,262006.10322409,-444.47392861881,100,262426.694971474,100,0,"100 (100)",79046.0395382773,30,14534.9608597585,6,64511.0786785188,25
"82","Netherlands",2015,186777.59290072,59.900166389351,100,186717.692734332,100,0,"100 (100)",60181.9190238489,32,5389.90571270107,3,54792.0133111479,29
"83","New Zealand",2013,616.99442805637,1.0711242215667,100,580.155031137333,94,6,"94 (100)",157.571370042611,27,-32.5057358243198,-6,190.077105866931,33
"84","New Zealand",2014,707.06999502405,0,100,691.533670592138,98,2,"98 (100)",11.8407696135344,2,-23.0811079781056,-3,34.9218775916401,5
"85","New Zealand",2015,491.5795565472,4.0693766559754,99,534.202342769496,109,-10,"109 (99)",135.603193417939,25,44.3577604239306,8,91.2454329940086,17
"86","Norway",2013,8667.2338977282,28.418276184804,100,8638.13494426951,100,0,"100 (100)",1501.57406619583,17,60.2399387390509,1,1441.33412745678,17
"87","Norway",2014,13770.450181691,47.446008346689,100,13722.3694441359,100,0,"100 (100)",780.558244339001,6,268.331772957365,2,512.226471381636,4
"88","Norway",2015,7968.329551232,38.317026896321,100,7929.76451768901,100,0,"100 (100)",130.079486130226,2,-65.4737546966265,-1,195.553240826853,2
"89","Poland",2013,194.28535265639,0.03164256557922,100,194.41192291871,100,0,"100 (100)",289.086479131724,149,-2.34154985286214,-1,291.428028984586,150
"90","Poland",2014,1747.2022318739,0.03170275496952,100,1747.29734013885,100,0,"100 (100)",1271.37558253812,73,-2.53622039755257,0,1273.91180293567,73
"91","Poland",2015,737.65317489788,0,100,737.706222481576,100,0,"100 (100)",130.921436528575,18,4.82733011511327,1,126.094106413462,17
"92","Slovak Republic",2014,201.69298129229,10.964574764495,95,201.692981292292,100,-5,"100 (95)",97.9235770200351,49,0,0,97.9235770200351,49
"93","Slovenia",2009,-145.87385384829,3.69e-12,100,-148.652403445402,102,-2,"102 (100)",44.4567935537653,-30,5.5570991942206,-4,38.8996943595447,-26
"94","Slovenia",2010,-317.88079470199,1.3245033112587,100,-319.205298013241,100,0,"100 (100)",52.9801324503309,-17,6.6225165562914,-2,46.3576158940395,-15
"95","Slovenia",2011,-54.317548746518,3e-13,100,-51.5320334261835,95,5,"95 (100)",8.3565459610031,-16,6.9637883008357,-14,1.3927576601674,-3
"96","Slovenia",2012,-389.46015424165,-3.58e-12,100,-393.316195372751,101,-1,"101 (100)",-26.9922879177378,7,6.426735218509,-2,-33.4190231362468,8
"97","Slovenia",2013,-552.23682463826,0,100,-545.59936280366,99,1,"99 (100)",-152.661622195672,28,6.6374618345945,-1,-159.299084030267,29
"98","Slovenia",2014,-87.213745522091,0.00132678784661,100,-87.2124187342441,100,0,"100 (100)",-16.5423908717001,19,5.2819424174075,-6,-21.8243332891076,25
"99","Slovenia",2015,55.34664448142,0,100,42.5524126455907,77,23,"77 (100)",-16.3227953410982,-38,0.16528008874099,0,-16.4880754298392,-39
"100","Spain",2013,34443.116952078,NA,NA,13350.5907341033,39,NA,"39 (NaN)",1669.98539758397,13,0,0,1669.98539758397,13
"101","Spain",2014,34777.763035691,NA,NA,5210.29587368982,15,NA,"15 (NaN)",1497.94347883774,29,0,0,1497.94347883774,29
"102","Spain",2015,28929.561841375,NA,NA,4196.33943427614,15,NA,"15 (NaN)",388.241819190237,9,0,0,388.241819190237,9
"103","Sweden",2013,34850.299401198,0,100,34833.5636419469,100,0,"100 (100)",3793.3364041149,11,78.1513895286344,0,3715.18501458627,11
"104","Sweden",2014,36103.295966414,0.1457747197481,100,36098.0480765025,100,0,"100 (100)",5034.03839706113,14,472.747416143091,1,4561.29098091804,13
"105","Sweden",2015,28595.612921595,0,100,28588.1389913754,100,0,"100 (100)",3562.81067229782,12,263.011163441802,1,3299.79950885602,12
"106","United Kingdom",2013,108946.38111615,0,100,102193.215569798,94,6,"94 (100)",26654.6818821322,26,8086.60309520085,8,18568.0787869314,18
"107","United Kingdom",2014,108019.42706618,0,100,98959.4995060917,92,8,"92 (100)",28302.6012512347,29,9181.75831412581,9,19120.8429371089,19
"108","United Kingdom",2015,92967.150496562,0,100,92180.2902979372,99,1,"99 (100)",22175.7066462949,24,5535.52330022917,6,16640.1833460657,18
"109","United States",2011,448235,3250,99,441810,99,0,"99 (99)",161399,37,59538,13,101861,23
"110","United States",2012,438089,419,100,434307,99,1,"99 (100)",169657,39,56599,13,113058,26
"111","United States",2013,448890,3068,99,444084,99,0,"99 (99)",185059,42,56905,13,128154,29
"112","United States",2014,448428,3746,99,444582,99,0,"99 (99)",190746,43,53519,12,137227,31
"113","United States",2015,402294,310,100,395491,98,2,"98 (100)",186304,47,52626,13,133678,34
