iso3_o,iso2_o,iso3_d,iso2_d,year,contig,comlang_off,comlang_ethno,comcol,col45,distw,pop_o,pop_d,gdp_o,gdp_d,gdpcap_o,gdpcap_d,area_o,area_d,tdiff,heg_o,heg_d,conflict,indepdate,col_to,col_fr,colony,curcol,sibling,cursib,empire,sever,sib_conflict,comcur,comrelig,comleg_pretrans,comleg_posttrans,transition_legalchange,legold_o,legold_d,legnew_o,legnew_d,gatt_o,gatt_d,pta_bb,fta_wto,fta_bb,fta_hmr,acp_to_eu,eu_to_acp,gsp_o_d,gsp_d_d,flaggsp_o_d,flaggsp_d_d,entry_cost_o,entry_cost_d,entry_proc_o,entry_proc_d,entry_time_o,entry_time_d,entry_tp_o,entry_tp_d,eu_o,eu_d
NOR,,BES,,2005,0,0,,0,,8113,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,,BES,,2005,0,0,,0,,8776,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVK,,BES,,2005,0,0,,0,,8853,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVN,,BES,,2005,0,0,,0,,8525,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,,BES,,2005,0,0,,0,,6990,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,,BES,,2005,0,0,,0,,8673,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,,BES,,2005,0,1,,0,,7323,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,,BES,,2005,0,1,,0,,3897,,0.018905,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,,CUW,,2005,0,1,,0,,17303,,0.149035,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,,CUW,,2005,0,0,,0,,8483,,0.149035,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,,CUW,,2005,0,1,,0,,7754,,0.149035,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,,CUW,,2005,0,1,,0,,5884,,0.149035,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,,CUW,,2005,0,0,,0,,8536,,0.149035,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,,CUW,,2005,0,0,,0,,8137,,0.149035,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EST,,CUW,,2005,0,0,,0,,9050,,0.149035,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,,CUW,,2005,0,0,,0,,7542,,0.149035,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,,CUW,,2005,0,0,,0,,8178,,0.149035,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,,CUW,,2005,0,0,,0,,9173,,0.149035,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,,CUW,,2005,0,0,,0,,8858,,0.149035,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,,CUW,,2005,0,0,,0,,6960,,0.149035,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,,CUW,,2005,0,1,,0,,6990,,0.149035,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
