"LOCATION","LOCATION_label.fr","LOCATION_label.en","TRANSACT","TRANSACT_label.fr","TRANSACT_label.en","MEASURE","MEASURE_label.fr","MEASURE_label.en","TIME_FORMAT","TIME_FORMAT_label.en","UNIT","UNIT_label.en","POWERCODE","POWERCODE_label.en","obsTime","obsValue"
"SVN","Slovénie","Slovenia","EXC","Taux de change, moyenne sur la période","Exchange rates, period-average","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","EUR","Euro","0","Units","2009",0.719843
"SVN","Slovénie","Slovenia","EXC","Taux de change, moyenne sur la période","Exchange rates, period-average","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","EUR","Euro","0","Units","2010",0.755045
"SVN","Slovénie","Slovenia","EXC","Taux de change, moyenne sur la période","Exchange rates, period-average","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","EUR","Euro","0","Units","2011",0.719355
"SVN","Slovénie","Slovenia","EXC","Taux de change, moyenne sur la période","Exchange rates, period-average","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","EUR","Euro","0","Units","2012",0.778294
"SVN","Slovénie","Slovenia","EXC","Taux de change, moyenne sur la période","Exchange rates, period-average","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","EUR","Euro","0","Units","2013",0.753159
"SVN","Slovénie","Slovenia","EXC","Taux de change, moyenne sur la période","Exchange rates, period-average","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","EUR","Euro","0","Units","2014",0.753731
"SVN","Slovénie","Slovenia","EXC","Taux de change, moyenne sur la période","Exchange rates, period-average","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","EUR","Euro","0","Units","2015",0.901659
"SVN","Slovénie","Slovenia","EXC","Taux de change, moyenne sur la période","Exchange rates, period-average","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","EUR","Euro","0","Units","2016",0.904035
"POL","Pologne","Poland","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","PLN","Zloty","0","Units","2005",1.805765
"POL","Pologne","Poland","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","PLN","Zloty","0","Units","2006",1.802897
