"COU","COU_label.fr","COU_label.en","CORP_TAX","CORP_TAX_label.fr","CORP_TAX_label.en","TAR","TAR_label.fr","TAR_label.en","TIME_FORMAT","TIME_FORMAT_label.en","obsTime","obsValue"
"FRA","France","France","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2007",34.42989
"FRA","France","France","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2008",34.42989
"FRA","France","France","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2009",34.42989
"FRA","France","France","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2010",34.42989
"FRA","France","France","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2011",36.09639
"FRA","France","France","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2012",36.09639
"FRA","France","France","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2013",37.9962
"FRA","France","France","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2014",37.9962
"FRA","France","France","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2015",37.9962
"FRA","France","France","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2016",34.43
"DEU","Allemagne","Germany","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2000",42.2
"DEU","Allemagne","Germany","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2001",26.375
"DEU","Allemagne","Germany","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2002",26.375
"DEU","Allemagne","Germany","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2003",27.96
"DEU","Allemagne","Germany","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2004",26.375
"DEU","Allemagne","Germany","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2005",26.375
"DEU","Allemagne","Germany","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2006",26.375
"DEU","Allemagne","Germany","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2007",26.375
"DEU","Allemagne","Germany","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2008",15.825
"DEU","Allemagne","Germany","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2009",15.825
"DEU","Allemagne","Germany","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2010",15.825
"DEU","Allemagne","Germany","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2011",15.825
"DEU","Allemagne","Germany","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2012",15.825
"DEU","Allemagne","Germany","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2013",15.825
"DEU","Allemagne","Germany","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2014",15.825
"DEU","Allemagne","Germany","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2015",15.825
"DEU","Allemagne","Germany","CIT_RATE","Corporate income tax rate","Corporate income tax rate","N","No","No","P1Y","Annual","2016",15.825
"GRC","Grèce","Greece","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2000",40
"GRC","Grèce","Greece","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2001",37.5
"GRC","Grèce","Greece","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2002",35
"GRC","Grèce","Greece","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2003",35
"GRC","Grèce","Greece","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2004",35
"GRC","Grèce","Greece","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2005",32
"GRC","Grèce","Greece","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2006",29
"GRC","Grèce","Greece","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2007",25
"GRC","Grèce","Greece","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2008",25
"GRC","Grèce","Greece","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2009",25
"GRC","Grèce","Greece","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2010",24
"GRC","Grèce","Greece","CIT_RATE","Corporate income tax rate","Corporate income tax rate","Y","Yes","Yes","P1Y","Annual","2011",20
